"N", "P", "time", "mpitime"
20000, 50, 3298.43, 34.629
10000, 50, 306.821, 33.3732
5000, 50, 43.9127, 9.83915
10000, 100, 170.313, 25.555
20000, 100, 1751.87, 58.0682
40000, 100, 14062.3, 203.681
